#EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 19-06-2015
#THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

#Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
#air temperature and precipitation series for the European Climate Assessment.
#Int. J. of Climatol., 22, 1441-1453.
#Data and metadata available at http://www.ecad.eu

#FILE FORMAT (MISSING VALUE CODE IS -9999):

#01-06 STAID: Station identifier
#08-13 SOUID: Source identifier
#15-22 DATE : Date YYYYMMDD
#24-28 SS   : sunshine in 0.1 Hours
#30-34 Q_SS : Quality code for SS (0='valid'; 1='suspect'; 9='missing')

#This is the series (SOUID: 107654) of IRELAND, WATERFORD (TYCOR) (STAID: 1760)
#See file sources.txt for more info.



 STAID, SOUID,    DATE,   SS, Q_SS
  1760,107654,19611001,   31,    0
  1760,107654,19611002,    0,    0
  1760,107654,19611003,    9,    0
  1760,107654,19611004,   34,    0
  1760,107654,19611005,   34,    0
  1760,107654,19611006,   26,    0
  1760,107654,19611007,   46,    0
  1760,107654,19611008,   65,    0
  1760,107654,19611009,    0,    0
  1760,107654,19611010,   70,    0
  1760,107654,19611011,   88,    0
  1760,107654,19611012,   93,    0
  1760,107654,19611013,   43,    0
  1760,107654,19611014,    1,    0
  1760,107654,19611015,    4,    0
  1760,107654,19611016,    5,    0
  1760,107654,19611017,   68,    0
  1760,107654,19611018,   61,    0
  1760,107654,19611019,    6,    0
  1760,107654,19611020,   35,    0
  1760,107654,19611021,    2,    0
  1760,107654,19611022,    0,    0
  1760,107654,19611023,   43,    0
  1760,107654,19611024,   78,    0
  1760,107654,19611025,   65,    0
  1760,107654,19611026,   72,    0
  1760,107654,19611027,    6,    0
  1760,107654,19611028,   75,    0
  1760,107654,19611029,   72,    0
  1760,107654,19611030,    2,    0
  1760,107654,19611031,    0,    0
  1760,107654,19611101,    5,    0
  1760,107654,19611102,   24,    0
  1760,107654,19611103,   67,    0
  1760,107654,19611104,   56,    0
  1760,107654,19611105,    1,    0
  1760,107654,19611106,   35,    0
  1760,107654,19611107,    4,    0
  1760,107654,19611108,   59,    0
  1760,107654,19611109,   50,    0
  1760,107654,19611110,   51,    0
  1760,107654,19611111,   64,    0
  1760,107654,19611112,   62,    0
  1760,107654,19611113,   11,    0
  1760,107654,19611114,    5,    0
  1760,107654,19611115,    0,    0
  1760,107654,19611116,    0,    0
  1760,107654,19611117,    0,    0
  1760,107654,19611118,    0,    0
  1760,107654,19611119,    0,    0
  1760,107654,19611120,    0,    0
  1760,107654,19611121,    3,    0
  1760,107654,19611122,   13,    0
  1760,107654,19611123,   56,    0
  1760,107654,19611124,   40,    0
  1760,107654,19611125,   48,    0
  1760,107654,19611126,    7,    0
  1760,107654,19611127,   38,    0
  1760,107654,19611128,   36,    0
  1760,107654,19611129,    2,    0
  1760,107654,19611130,    0,    0
  1760,107654,19611201,    0,    0
  1760,107654,19611202,   50,    0
  1760,107654,19611203,    0,    0
  1760,107654,19611204,    2,    0
  1760,107654,19611205,   52,    0
  1760,107654,19611206,   48,    0
  1760,107654,19611207,    0,    0
  1760,107654,19611208,    0,    0
  1760,107654,19611209,   23,    0
  1760,107654,19611210,    0,    0
  1760,107654,19611211,   19,    0
  1760,107654,19611212,   40,    0
  1760,107654,19611213,   11,    0
  1760,107654,19611214,    0,    0
  1760,107654,19611215,    0,    0
  1760,107654,19611216,    0,    0
  1760,107654,19611217,   42,    0
  1760,107654,19611218,   37,    0
  1760,107654,19611219,   45,    0
  1760,107654,19611220,    0,    0
  1760,107654,19611221,    0,    0
  1760,107654,19611222,    0,    0
  1760,107654,19611223,    0,    0
  1760,107654,19611224,    3,    0
  1760,107654,19611225,   25,    0
  1760,107654,19611226,    9,    0
  1760,107654,19611227,   31,    0
  1760,107654,19611228,   27,    0
  1760,107654,19611229,    0,    0
