Station Name: JohnstownII
Station Height: 62 M 
Latitude:52.300  ,Longitude: -6.490


maxtp: -  Maximum Air Temperature (C)	  
mintp: -  Minimum  Air Temperature (C)	
rain: -	  Precipitation Amount (mm)
cbl:  -   Mean CBL Pressure (hpa)
wdsp: -	  Mean Wind Speed (knot)
hm: -	  Highest ten minute mean wind speed (knot)		                 
ddhm: -	  Mean Wind Direction over 10 minutes at time of highest 10 minute mean (degree)                  
hg: -	  Highest Gust (knot)
soil  -   Mean 10cm soil temperature (C)
i: -	  Indicator

date,imax,maxtp,imin,mintp,irain,rain,cbl,wdsp,ihm,hm,iddhm,ddhm,ihg,hg,soil 
01-jan-2005,0,11.3,0,2.7,8, ,1008.8,11.4,0,21,0,210,0,38,7.385 
02-jan-2005,0,8.0,0,2.4,0,0.1,1019.9,7.4,0,11,0,240,0,21,4.669 
03-jan-2005,0,10.4,0,5.6,0,0.0,1020.2,11.6,0,24,0,200,0,36,6.080 
04-jan-2005,0,10.3,0,3.8,0,0.7,1012.8,11.0,0,25,0,210,0,41,7.029 
05-jan-2005,0,10.0,0,3.1,0,5.6,1012.1,9.8,0,19,0,210,0,33,5.884 
06-jan-2005,0,11.3,0,3.6,0,0.2,1013.3,13.3,0,21,0,210,0,34,6.451 
07-jan-2005,0,11.4,0,10.2,0,19.7,997.3,20.7,0,26,0,190,0,44,9.052 
08-jan-2005,0,11.0,0,2.0,0,2.7,997.0,13.7,0,26,0,230,0,46,6.837 
09-jan-2005,0,11.8,0,7.8,0,6.6,1001.7,16.4,0,24,0,210,0,40,7.753 
10-jan-2005,0,11.6,0,7.9,0,0.1,1000.7,10.9,0,23,0,200,0,39,8.417 
11-jan-2005,0,11.6,0,4.2,0,1.9,999.4,16.4,0,25,0,200,0,45,7.910 
12-jan-2005,0,7.9,0,2.4,0,0.5,1013.1,9.4,0,17,0,240,0,28,5.060 
13-jan-2005,0,9.7,0,1.6,0,0.3,1019.0,5.9,0,13,0,170,0,22,4.385 
14-jan-2005,0,10.9,0,8.2,0,7.4,1011.8,13.5,0,18,0,160,0,29,7.392 
15-jan-2005,0,11.1,0,9.0,0,3.0,1008.1,12.5,0,16,0,180,0,29,8.917 
16-jan-2005,0,10.0,0,8.0,0,4.2,1008.5,10.9,0,17,0,210,0,32,8.355 
17-jan-2005,0,9.9,0,0.5,0,2.3,999.0,11.0,0,17,0,220,0,30,7.902 
18-jan-2005,0,6.7,0,-0.1,0,1.6,998.0,10.8,0,15,0,280,0,30,4.549 
19-jan-2005,0,12.6,0,5.1,0,1.7,1007.8,9.2,0,17,0,260,0,26,6.669 
20-jan-2005,0,12.6,0,8.5,0,1.0,1007.9,13.3,0,19,0,260,0,37,8.833 
21-jan-2005,0,8.6,0,4.4,0,11.3,1012.2,4.2,0,8,0,270,0,15,7.170 
22-jan-2005,0,8.5,0,4.6,0,12.3,1012.5,6.7,0,15,0,50,0,26,6.971 
23-jan-2005,0,5.9,0,1.9,0,0.0,1024.4,9.4,0,14,0,40,0,26,4.900 
24-jan-2005,0,5.7,0,2.0,0,0.0,1030.8,9.0,0,14,0,330,0,20,4.014 
25-jan-2005,0,7.7,0,3.2,0,0.0,1029.2,9.5,0,13,0,330,0,21,4.745 
26-jan-2005,0,8.8,0,4.8,0,0.0,1029.9,6.2,0,10,0,330,0,14,5.825 
27-jan-2005,0,7.2,0,5.2,0,0.0,1026.2,7.2,0,12,0,330,0,18,5.685 
28-jan-2005,0,8.7,0,4.6,0,0.0,1022.1,8.3,0,11,0,350,0,21,5.733 
29-jan-2005,0,8.7,0,4.2,0,0.0,1025.8,5.6,0,11,0,320,0,15,6.287 
30-jan-2005,0,8.7,0,2.2,0,0.0,1031.1,4.3,0,10,0,320,0,18,5.750 
31-jan-2005,0,10.8,0,3.7,0,0.0,1032.1,7.4,0,17,0,330,0,28,6.096 
01-feb-2005,0,9.6,0,1.5,0,0.0,1033.1,7.5,0,16,0,330,0,25,6.821 
02-feb-2005,0,9.4,0,3.4,0,0.0,1033.9,4.5,0,8,0,300,0,14,5.988 
03-feb-2005,0,10.0,0,5.6,0,0.0,1030.2,5.6,0,7,0,230,0,13,6.452 
04-feb-2005,0,9.5,0,5.6,0,7.8,1018.2,8.8,0,16,0,200,0,26,6.854 
05-feb-2005,0,6.8,0,1.8,0,0.2,1010.2,4.8,0,8,0,340,0,14,5.618 
06-feb-2005,0,7.5,0,1.6,0,0.3,1014.0,6.3,0,10,0,330,0,16,4.338 
07-feb-2005,0,9.0,0,1.5,0,0.4,1013.8,6.5,0,12,0,180,0,21,4.804 
08-feb-2005,0,10.4,0,5.3,0,1.0,1014.8,8.1,0,14,0,210,0,25,6.236 
09-feb-2005,0,9.8,0,7.2,0,0.1,1014.7,11.3,0,17,0,220,0,28,7.098 
10-feb-2005,0,9.7,0,6.4,0,5.5,1013.2,5.5,0,14,0,230,0,24,8.145 
11-feb-2005,0,11.6,0,6.2,0,1.2,1008.1,6.7,0,14,0,230,0,26,8.167 
12-feb-2005,0,11.9,0,5.2,0,1.7,1006.0,11.1,0,17,0,300,0,34,8.443 
13-feb-2005,0,7.0,0,3.7,0,0.3,1015.2,14.3,0,25,0,320,0,39,5.495 
14-feb-2005,0,9.2,0,2.6,0,0.0,1020.5,7.9,0,17,0,320,0,26,4.977 
15-feb-2005,0,7.3,0,1.6,0,0.0,1022.0,5.1,0,8,0,330,0,13,5.114 
